date,ticker,day_return,bucket,volume_ratio,fwd_1d,fwd_3d,fwd_5d,label_1d,label_3d,label_5d,pre_1d,pre_5d,pre_20d,pre_60d,atr_5,atr_20,atr_ratio,pre_range_5d,vol_event,vol_5d_ratio,vol_trend,vol_surprise,d52w_high,d52w_low,consolidation_days,price_vs_ma20,price_vs_ma50,ma20_slope
2018-10-12,TATAPOWER.NS,10.6,10-15%,4.73,3.49,5.37,1.09,continuation,continuation,flat,-4.23,-0.95,-16.39,-11.26,3.771,3.319,1.136,6.15,5.62,0.94,2.533,5.99,29.21,4.1,0.0,-10.08,-12.65,-3.435
2018-10-15,MPHASIS.NS,7.64,7-10%,1.08,4.08,-1.63,-1.84,continuation,flat,flat,-1.7,-8.19,-19.79,-14.84,39.536,27.267,1.45,4.26,1.11,1.36,5.504,0.81,21.16,28.37,1.0,-12.71,-15.08,-3.365
2018-10-15,ORIENTELEC.NS,12.43,10-15%,2.18,-4.72,-11.58,-18.09,reversal,reversal,reversal,1.64,8.31,-18.39,9.57,9.182,9.051,1.014,7.46,2.4,0.51,-12.692,4.72,28.19,23.1,2.0,-6.6,-14.12,-5.39
2018-10-15,GUJGASLTD.NS,13.65,10-15%,1.58,-2.07,-7.13,-9.96,reversal,reversal,reversal,1.05,-0.18,-15.56,-18.26,3.821,6.422,0.595,3.08,1.58,0.2,-19.73,7.92,32.88,2.61,8.0,-6.12,-14.71,-2.878
2018-10-16,FEDERALBNK.NS,7.72,7-10%,4.84,-3.86,-2.27,0.24,reversal,reversal,flat,2.78,7.14,-2.63,-13.17,2.962,2.995,0.989,3.77,6.21,1.09,1.672,5.67,26.98,13.05,1.0,4.48,-3.87,-0.766
2018-10-24,M&MFIN.NS,7.12,7-10%,2.03,0.61,-0.39,2.0,flat,flat,flat,3.83,-6.04,-4.71,-22.45,13.283,15.794,0.841,6.45,2.07,0.86,-4.13,2.41,29.32,9.25,0.0,-3.48,-14.02,-3.37
2018-10-24,OBEROIRLTY.NS,9.62,7-10%,1.51,-2.88,-2.06,-2.12,reversal,reversal,reversal,3.76,5.13,-2.93,-17.14,15.673,20.156,0.778,4.19,1.54,0.83,4.653,1.86,35.07,12.3,0.0,1.12,-9.05,-3.615
2018-10-24,IIFL.NS,8.28,7-10%,1.6,0.03,8.16,20.31,flat,continuation,continuation,-6.08,-23.4,-36.39,-46.09,20.348,23.82,0.854,9.94,1.65,1.26,3.599,1.31,59.6,3.55,0.0,-23.97,-41.55,-9.096
2018-10-24,BHARTIARTL.NS,10.48,10-15%,1.78,-6.43,-6.89,-7.44,reversal,reversal,reversal,0.05,-2.76,-19.74,-19.35,8.661,11.703,0.74,3.46,1.85,0.72,-5.768,2.56,34.09,3.27,7.0,-7.99,-18.29,-5.315
2018-10-24,BAJFINANCE.NS,10.97,10-15%,2.16,1.0,2.97,3.06,flat,flat,continuation,-1.51,-9.77,-7.85,-23.22,14.497,15.59,0.93,6.93,2.21,1.0,0.985,2.22,30.42,30.91,2.0,-4.76,-17.7,-3.452
2018-10-25,KAJARIACER.NS,7.53,7-10%,3.71,5.65,6.78,12.59,continuation,continuation,continuation,3.26,-4.53,-14.41,-23.81,18.513,19.451,0.952,5.55,4.23,0.77,-2.09,5.49,43.27,6.65,0.0,-5.73,-17.55,-4.239
2018-10-26,RAYMOND.NS,11.95,10-15%,5.46,7.68,8.72,9.6,continuation,continuation,continuation,-3.86,-3.41,-15.02,-26.22,31.06,35.121,0.884,4.79,7.35,1.03,3.796,7.15,46.21,4.27,0.0,-5.3,-16.05,-3.468
2018-10-26,CEATLTD.NS,8.86,7-10%,4.52,2.57,3.7,7.07,flat,continuation,continuation,-3.16,-7.77,-17.79,-24.82,44.135,48.877,0.903,4.17,5.71,0.88,3.788,6.51,38.47,1.75,0.0,-7.2,-19.67,-4.096
