date,ticker,day_return,bucket,volume_ratio,fwd_1d,fwd_3d,fwd_5d,label_1d,label_3d,label_5d,pre_1d,pre_5d,pre_20d,pre_60d,atr_5,atr_20,atr_ratio_x,pre_range_5d,vol_event,vol_5d_ratio,vol_trend,vol_surprise,d52w_high,d52w_low,consolidation_days,price_vs_ma20,price_vs_ma50,ma20_slope,event_type,kmeans_cluster,entry_price,trader_ret_3d,trader_ret_5d,trader_label_3d,trader_label_5d,clv,imom,atr_ratio_y,structure,intraday_score,event_gap,intraday_move,is_intraday_squeeze,atr_ratio_event,vol_ratio_event,vol_sweet_spot,consec_up_days,is_early_move,body_ratio,upper_wick_ratio,lower_wick_ratio,target_hit,stop_hit
2020-06-08,ASHOKLEY.NS,9.72,7-10%,2.41,-4.34,-3.68,-2.45,reversal,reversal,reversal,5.68,4.2,2.76,-32.13,1.429,1.212,1.179,6.3,2.65,1.34,9.103,1.97,45.97,43.47,0.0,5.28,7.62,-0.261,D_DeadCat,3,22.809589385986328,0.69,1.97,flat,profit,0.731,0.656,1.72,weak,2,3.41,6.1,0.0,1.72,2.65,1.0,1.0,1.0,0.656,0.269,0.075,True,True
2020-06-08,RATNAMANI.NS,7.53,7-10%,0.94,7.58,3.49,2.22,continuation,continuation,flat,1.29,4.22,4.83,-28.81,17.119,18.902,0.906,2.5,0.97,2.27,44.645,0.43,32.81,28.63,3.0,6.71,4.44,1.004,E_Mixed,0,694.6080932617188,-3.8,-4.98,loss,loss,0.819,0.115,1.39,weak,1,7.03,0.47,0.0,1.39,0.97,0.0,1.0,1.0,0.115,0.181,0.704,True,False
2020-06-08,SUNTECK.NS,7.49,7-10%,3.66,-5.7,-8.88,-10.49,reversal,reversal,reversal,8.81,7.59,12.2,-48.26,9.986,9.506,1.05,6.17,4.19,1.51,15.849,2.77,65.96,19.28,0.0,8.93,-4.48,-1.192,B_MomentumRun,3,171.6154327392578,-3.37,-5.08,loss,loss,0.519,-0.284,1.49,weak,1,9.86,-2.16,0.0,1.49,4.19,0.0,1.0,1.0,0.284,0.197,0.519,False,True
2020-06-08,BRIGADE.NS,12.14,10-15%,1.99,-4.48,-3.36,-6.68,reversal,reversal,reversal,7.61,15.02,12.9,-45.59,7.294,6.587,1.107,6.23,1.99,1.01,0.531,1.97,52.84,31.99,0.0,16.77,2.18,0.309,D_DeadCat,3,126.12290954589844,1.17,-2.31,profit,loss,0.642,0.477,2.9,weak,2,4.4,7.42,0.0,2.9,1.99,1.0,1.0,1.0,0.477,0.358,0.165,False,True
2020-06-08,AAVAS.NS,9.95,7-10%,3.24,6.53,-5.28,-3.01,continuation,reversal,reversal,5.5,12.71,10.79,-37.87,64.38,58.517,1.1,5.47,3.85,0.9,5.206,4.27,42.97,41.12,0.0,14.62,7.93,0.21,D_DeadCat,3,1403.4000244140625,-11.08,-8.96,loss,loss,0.996,0.598,2.56,mixed,3,2.46,7.31,0.0,2.56,3.85,1.0,7.0,0.0,0.598,0.004,0.398,True,False
2020-06-08,PNCINFRA.NS,10.4,10-15%,2.4,-4.63,-2.16,-1.66,reversal,reversal,flat,6.49,7.32,11.02,-33.7,5.437,5.112,1.064,4.49,2.63,1.0,12.494,2.64,46.15,46.69,0.0,9.73,7.25,-0.445,D_DeadCat,3,122.57718658447266,2.59,3.12,profit,profit,0.693,0.076,2.18,weak,1,9.67,0.66,0.0,2.18,2.63,1.0,2.0,1.0,0.076,0.307,0.618,False,True
2020-06-09,BHEL.NS,9.66,7-10%,1.85,2.12,2.45,-7.5,flat,flat,reversal,0.72,-0.18,23.95,-5.41,1.273,1.719,0.74,4.61,2.0,0.61,-1.991,3.29,62.1,51.9,1.0,6.68,19.8,3.773,D_DeadCat,3,30.88608741760254,0.32,-9.42,flat,loss,0.781,0.658,2.09,weak,2,1.07,8.5,1.0,2.09,2.0,1.0,2.0,1.0,0.658,0.219,0.123,True,False
2020-06-09,RATNAMANI.NS,7.58,7-10%,1.33,-4.87,-5.57,-5.24,reversal,reversal,reversal,7.53,9.76,12.07,-21.06,25.415,20.738,1.226,3.09,1.41,2.29,35.823,0.62,27.75,38.32,0.0,14.01,12.35,1.455,B_MomentumRun,0,660.7864379882812,-0.74,-0.39,flat,flat,0.57,0.503,3.57,weak,1,1.81,5.66,1.0,3.57,1.41,0.0,2.0,1.0,0.503,0.43,0.067,False,True
2020-06-10,INDUSINDBK.NS,7.7,7-10%,1.46,4.71,-1.81,-1.69,continuation,flat,flat,2.72,7.3,3.97,-48.63,27.011,25.958,1.041,5.39,1.5,1.16,0.023,1.3,72.12,96.94,1.0,15.17,14.06,-0.009,D_DeadCat,3,505.2080993652344,-6.23,-6.12,loss,loss,0.774,0.756,1.75,mixed,3,0.02,7.67,1.0,1.75,1.5,1.0,3.0,0.0,0.756,0.226,0.018,True,False
2020-06-10,RBLBANK.NS,16.83,15%+,3.29,-2.22,-1.74,-1.13,reversal,flat,flat,6.08,7.5,20.39,-31.9,12.082,8.622,1.401,8.33,3.74,1.46,10.764,2.56,79.83,38.4,0.0,16.66,13.04,1.019,B_MomentumRun,0,157.837646484375,0.5,1.12,flat,profit,0.836,0.829,3.1,weak,2,0.82,15.88,1.0,3.1,3.74,1.0,3.0,0.0,0.829,0.164,0.007,True,True
2020-06-11,NCLIND.NS,8.4,7-10%,2.83,2.54,-3.03,4.23,flat,reversal,continuation,1.0,2.02,-2.38,-1.9,2.48,3.206,0.774,3.9,3.26,0.71,-13.494,4.58,57.52,23.12,7.0,0.56,1.35,0.416,A_ColdBreakout,3,65.65213012695312,-5.43,1.65,loss,profit,0.843,0.771,2.0,mixed,3,0.15,8.23,1.0,2.0,3.26,1.0,1.0,1.0,0.771,0.157,0.071,True,True
2020-06-12,M&M.NS,7.14,7-10%,2.21,-0.06,-2.13,-1.65,flat,reversal,flat,0.53,-1.99,18.5,12.09,16.111,19.948,0.808,3.57,2.4,0.76,-7.627,3.16,28.75,93.38,8.0,8.0,24.02,3.697,E_Mixed,3,482.7026672363281,-2.08,-1.59,loss,loss,0.922,0.906,2.74,mixed,4,-3.7,11.26,1.0,2.74,2.4,1.0,1.0,1.0,0.906,0.078,0.016,False,False
2020-06-12,ABFRL.NS,7.32,7-10%,1.15,0.22,-3.95,-4.49,flat,reversal,reversal,0.35,-6.48,26.13,-41.99,10.419,8.221,1.267,7.62,1.13,0.98,-10.496,1.15,54.52,33.87,2.0,9.21,3.11,4.728,D_DeadCat,3,137.65402221679688,-4.15,-4.69,loss,loss,0.921,0.914,2.51,mixed,4,-7.39,15.88,1.0,2.51,1.13,0.0,1.0,1.0,0.914,0.079,0.007,True,False
2020-06-12,SUNDARMFIN.NS,11.75,10-15%,2.32,-6.32,-5.73,-1.15,reversal,reversal,flat,-0.25,0.3,0.21,-11.87,27.682,35.842,0.772,2.27,2.44,0.39,-1.88,6.32,31.99,22.86,7.0,-0.69,-1.37,-0.033,A_ColdBreakout,3,1201.9813232421875,0.63,5.51,flat,profit,0.855,0.803,4.9,weak,2,-0.55,12.36,1.0,4.9,2.44,1.0,0.0,1.0,0.803,0.145,0.052,False,True
2020-06-15,TATACOMM.NS,9.99,7-10%,4.42,8.5,9.55,9.04,continuation,continuation,continuation,5.04,2.57,7.56,93.69,19.149,20.005,0.957,4.34,5.55,0.86,3.911,6.44,6.48,142.65,0.0,1.95,20.11,1.754,E_Mixed,0,537.578369140625,0.98,0.5,flat,flat,1.0,1.0,2.91,strong,5,-2.95,13.33,1.0,2.91,5.55,0.0,1.0,1.0,1.0,-0.0,0.0,True,False
2020-06-16,HAL.NS,8.28,7-10%,1.76,-0.65,-0.69,-0.12,flat,flat,flat,0.45,0.42,20.26,24.96,9.614,11.687,0.823,3.19,1.37,0.31,-12.981,4.49,21.91,48.22,5.0,12.22,19.37,5.493,E_Mixed,3,316.57196044921875,-0.04,0.54,flat,flat,0.652,0.452,3.72,weak,2,1.75,6.41,1.0,3.72,1.37,0.0,1.0,1.0,0.452,0.348,0.2,True,False
2020-06-16,MOIL.NS,8.2,7-10%,6.0,0.12,-5.22,-5.93,flat,reversal,reversal,1.05,-3.03,19.8,38.98,5.25,4.885,1.075,3.65,8.21,0.74,-11.435,11.15,10.66,73.99,2.0,10.33,17.19,4.043,C_Shock,3,135.4588165283203,-5.33,-6.05,loss,loss,0.554,0.554,3.45,weak,2,0.74,7.4,1.0,3.45,8.21,0.0,1.0,1.0,0.554,0.446,0.0,False,False
