date,ticker,day_return,bucket,volume_ratio,fwd_1d,fwd_3d,fwd_5d,label_1d,label_3d,label_5d
2018-07-30,ADANIGREEN.NS,9.93,7-10%,1.29,4.95,15.64,27.37,continuation,continuation,continuation
2018-07-30,HAL.NS,12.78,10-15%,7.35,8.81,7.57,7.35,continuation,continuation,continuation
2018-07-30,BANKBARODA.NS,10.3,10-15%,4.0,0.85,-3.16,-0.99,flat,reversal,flat
2018-07-31,DABUR.NS,7.14,7-10%,5.92,2.54,3.64,5.14,flat,continuation,continuation
2018-07-31,HAL.NS,8.81,7-10%,9.01,1.17,-0.59,0.47,flat,flat,flat
2018-07-31,BEL.NS,7.93,7-10%,2.87,0.64,2.71,0.13,flat,flat,flat
2018-07-31,VBL.NS,7.91,7-10%,2.13,-1.07,-3.37,-1.42,flat,reversal,flat
2018-08-01,ABFRL.NS,10.13,10-15%,12.65,12.28,16.36,16.07,continuation,continuation,continuation
2018-08-01,HINDCOPPER.NS,8.15,7-10%,5.3,-0.54,-2.0,-3.38,flat,flat,reversal
2018-08-02,ABFRL.NS,12.28,10-15%,11.28,-1.36,2.28,4.96,flat,flat,continuation
2018-08-02,TCI.NS,7.51,7-10%,9.11,5.51,8.12,7.4,continuation,continuation,continuation
2018-08-03,JPPOWER.NS,13.46,10-15%,2.86,18.64,8.47,1.69,continuation,continuation,flat
2018-08-06,JPPOWER.NS,18.64,15%+,6.65,-5.71,-10.0,-17.14,reversal,reversal,reversal
2018-08-09,PAGEIND.NS,7.2,7-10%,3.19,-3.05,2.55,4.96,reversal,flat,continuation
2018-08-09,ORIENTELEC.NS,8.56,7-10%,6.99,2.35,0.52,-1.24,flat,flat,flat
2018-08-09,NATIONALUM.NS,7.2,7-10%,2.76,-3.18,-2.77,-4.78,reversal,reversal,reversal
2018-08-13,APOLLOHOSP.NS,13.21,10-15%,6.83,5.86,11.29,10.6,continuation,continuation,continuation
2018-08-13,UBL.NS,7.72,7-10%,3.87,2.95,6.78,5.89,flat,continuation,continuation
2018-08-13,TCI.NS,9.1,7-10%,1.77,0.98,6.67,6.76,flat,continuation,continuation
2018-08-14,ABFRL.NS,7.96,7-10%,1.35,0.62,-1.06,0.16,flat,flat,flat
2018-08-14,KARURVYSYA.NS,7.74,7-10%,2.12,-1.2,-0.9,-2.3,flat,flat,reversal
2018-08-14,BALKRISIND.NS,8.72,7-10%,4.48,4.53,1.97,-0.08,continuation,flat,flat
2018-08-14,NCLIND.NS,8.35,7-10%,2.55,5.44,9.37,8.77,continuation,continuation,continuation
2018-08-17,LALPATHLAB.NS,7.54,7-10%,3.49,-0.35,-1.7,3.82,flat,flat,continuation
2018-08-17,TCI.NS,8.27,7-10%,3.01,1.87,-0.78,-0.31,flat,flat,flat
2018-08-20,WELCORP.NS,11.48,10-15%,1.59,5.79,15.23,18.39,continuation,continuation,continuation
2018-08-20,JINDALSAW.NS,7.08,7-10%,1.92,-1.58,-4.86,2.75,flat,reversal,flat
2018-08-21,KAJARIACER.NS,10.85,10-15%,6.48,5.8,5.66,7.44,continuation,continuation,continuation
2018-08-21,KEC.NS,7.51,7-10%,3.46,-2.18,-1.98,-4.02,reversal,flat,reversal
2018-08-21,CESC.NS,7.01,7-10%,6.09,-0.18,-0.52,-1.83,flat,flat,flat
2018-08-24,BHEL.NS,8.53,7-10%,4.52,-0.31,0.56,0.5,flat,flat,flat
2018-08-24,GMMPFAUDLR.NS,9.43,7-10%,2.33,1.85,-1.61,-3.01,flat,flat,reversal
2018-08-27,JINDALSAW.NS,8.12,7-10%,2.81,-0.11,7.28,7.17,flat,continuation,continuation
2018-08-27,MOIL.NS,9.27,7-10%,11.55,-3.99,-4.07,-1.44,reversal,reversal,flat
2018-08-28,ADANIENT.NS,8.43,7-10%,2.49,-2.79,-1.94,-8.4,reversal,flat,reversal
2018-08-29,JSWSTEEL.NS,8.96,7-10%,6.82,-0.28,-0.5,-0.16,flat,flat,flat
2018-08-29,JPPOWER.NS,12.28,10-15%,1.63,18.75,26.56,7.81,continuation,continuation,continuation
2018-08-30,BOSCHLTD.NS,9.6,7-10%,6.85,-0.07,-4.93,-3.36,flat,reversal,reversal
2018-08-30,JPPOWER.NS,18.75,15%+,4.07,14.47,-3.95,-9.21,continuation,reversal,reversal
2018-08-31,JPPOWER.NS,14.47,10-15%,3.65,-6.9,-20.69,-22.99,reversal,reversal,reversal
2018-09-05,MUTHOOTFIN.NS,9.24,7-10%,11.01,3.22,3.79,3.27,continuation,continuation,continuation
2018-09-06,ADANIENT.NS,20.95,15%+,2.35,-3.88,-9.44,-8.0,reversal,reversal,reversal
2018-09-06,AUROPHARMA.NS,8.95,7-10%,3.87,5.47,4.09,5.33,continuation,continuation,continuation
2018-09-06,GODFRYPHLP.NS,7.62,7-10%,4.56,4.15,0.88,8.52,continuation,flat,continuation
2018-09-14,PRESTIGE.NS,7.57,7-10%,2.09,2.09,-2.07,-7.4,flat,reversal,reversal
2018-09-14,PNCINFRA.NS,8.65,7-10%,2.25,4.14,-3.06,-7.76,continuation,reversal,reversal
2018-09-14,JINDALSAW.NS,7.69,7-10%,1.6,-0.41,-1.66,-13.0,flat,flat,reversal
2018-09-14,DEEPAKNTR.NS,8.11,7-10%,4.26,-2.32,5.61,-1.33,reversal,continuation,flat
2018-09-19,DEEPAKNTR.NS,7.47,7-10%,3.45,-4.27,-2.89,3.3,reversal,reversal,continuation
2018-09-26,BEL.NS,10.5,10-15%,2.34,-2.55,-1.78,-2.32,reversal,flat,reversal
2018-10-01,INDIANB.NS,8.29,7-10%,1.22,2.36,-6.82,-8.35,flat,reversal,reversal
2018-10-03,NATIONALUM.NS,11.11,10-15%,2.45,0.14,-11.45,-3.33,flat,reversal,reversal
2018-10-03,WELCORP.NS,7.67,7-10%,1.12,-8.46,-9.57,-0.56,reversal,reversal,flat
2018-10-09,IIFL.NS,7.25,7-10%,1.24,3.39,-3.01,1.89,continuation,reversal,flat
2018-10-09,NCLIND.NS,8.89,7-10%,2.08,-1.7,-4.42,-1.06,flat,reversal,flat
2018-10-10,BAJFINANCE.NS,10.19,10-15%,1.84,-4.79,1.55,-5.3,reversal,flat,reversal
2018-10-10,BAJAJFINSV.NS,9.81,7-10%,1.73,-6.2,-5.49,-9.75,reversal,reversal,reversal
2018-10-10,EICHERMOT.NS,7.1,7-10%,1.26,-1.0,3.77,-2.68,flat,continuation,reversal
2018-10-10,GODREJCP.NS,7.4,7-10%,1.07,1.3,1.58,2.18,flat,flat,flat
2018-10-10,HAVELLS.NS,8.4,7-10%,1.26,-5.11,-1.87,-3.98,reversal,flat,reversal
2018-10-10,GODREJPROP.NS,7.28,7-10%,3.73,-2.46,3.11,7.64,reversal,continuation,continuation
2018-10-10,MUTHOOTFIN.NS,8.52,7-10%,1.85,-1.88,-0.95,-0.56,flat,flat,flat
2018-10-10,CHOLAFIN.NS,9.44,7-10%,0.96,-4.75,2.47,-2.93,reversal,flat,reversal
2018-10-10,BEL.NS,7.31,7-10%,0.72,4.24,7.12,4.97,continuation,continuation,continuation
2018-10-10,RAYMOND.NS,8.54,7-10%,1.17,-3.02,3.25,-1.83,reversal,continuation,flat
2018-10-10,CANBK.NS,7.65,7-10%,1.08,-3.27,-1.25,-5.2,reversal,flat,reversal
2018-10-10,UNIONBANK.NS,9.05,7-10%,1.29,-4.39,-3.84,-6.76,reversal,reversal,reversal
2018-10-10,INDIANB.NS,7.29,7-10%,0.76,-4.56,-1.92,-6.65,reversal,flat,reversal
2018-10-10,M&MFIN.NS,9.44,7-10%,1.52,-8.24,-4.74,-9.81,reversal,reversal,reversal
2018-10-10,INOXWIND.NS,7.74,7-10%,0.82,-1.61,11.9,8.49,flat,continuation,continuation
2018-10-10,TVSMOTOR.NS,7.76,7-10%,1.43,-4.0,-0.81,-0.04,reversal,flat,flat
2018-10-10,ORIENTELEC.NS,7.73,7-10%,0.66,-1.34,12.74,0.75,flat,continuation,flat
2018-10-10,IFBIND.NS,8.15,7-10%,1.33,0.17,-0.08,-2.81,flat,flat,reversal
2018-10-10,NATIONALUM.NS,8.99,7-10%,1.59,0.37,0.0,-1.2,flat,flat,flat
2018-10-10,RPOWER.NS,7.1,7-10%,0.99,-1.89,7.39,3.6,flat,continuation,continuation
2018-10-11,HINDCOPPER.NS,9.16,7-10%,3.34,-0.68,1.06,-7.52,flat,flat,reversal
2018-10-12,TATAPOWER.NS,10.6,10-15%,4.73,3.49,5.37,1.09,continuation,continuation,flat
2018-10-12,CHOLAFIN.NS,7.16,7-10%,1.03,0.39,-4.9,-3.52,flat,reversal,reversal
2018-10-12,DCBBANK.NS,7.03,7-10%,1.02,0.0,-1.39,-3.82,flat,flat,reversal
2018-10-12,INOXWIND.NS,8.75,7-10%,1.18,4.57,1.39,-1.45,continuation,flat,flat
2018-10-12,WELCORP.NS,9.81,7-10%,0.86,-1.14,-7.39,-14.15,flat,reversal,reversal
2018-10-12,JYOTHYLAB.NS,8.13,7-10%,2.44,-3.81,-6.91,-10.91,reversal,reversal,reversal
2018-10-12,RPOWER.NS,8.49,7-10%,1.41,0.89,-2.67,-3.2,flat,reversal,reversal
2018-10-15,MPHASIS.NS,7.64,7-10%,1.08,4.08,-1.63,-1.84,continuation,flat,flat
2018-10-15,ORIENTELEC.NS,12.43,10-15%,2.18,-4.72,-11.58,-18.09,reversal,reversal,reversal
2018-10-15,GUJGASLTD.NS,13.65,10-15%,1.58,-2.07,-7.13,-9.96,reversal,reversal,reversal
2018-10-16,FEDERALBNK.NS,7.72,7-10%,4.84,-3.86,-2.27,0.24,reversal,reversal,flat
2018-10-24,BHARTIARTL.NS,10.48,10-15%,1.78,-6.43,-6.89,-7.44,reversal,reversal,reversal
2018-10-24,BAJFINANCE.NS,10.97,10-15%,2.16,1.0,2.97,3.06,flat,flat,continuation
2018-10-24,OBEROIRLTY.NS,9.62,7-10%,1.51,-2.88,-2.06,-2.12,reversal,reversal,reversal
2018-10-24,M&MFIN.NS,7.12,7-10%,2.03,0.61,-0.39,2.0,flat,flat,flat
2018-10-24,IIFL.NS,8.28,7-10%,1.6,0.03,8.16,20.31,flat,continuation,continuation
2018-10-25,KAJARIACER.NS,7.53,7-10%,3.71,5.65,6.78,12.59,continuation,continuation,continuation
2018-10-26,RAYMOND.NS,11.95,10-15%,5.46,7.68,8.72,9.6,continuation,continuation,continuation
2018-10-26,CEATLTD.NS,8.86,7-10%,4.52,2.57,3.7,7.07,flat,continuation,continuation
2018-10-29,ICICIBANK.NS,10.69,10-15%,2.84,-1.06,1.23,0.07,flat,flat,flat
2018-10-29,SBIN.NS,7.98,7-10%,1.38,1.96,6.72,10.1,flat,continuation,continuation
2018-10-29,ADANIPORTS.NS,7.33,7-10%,1.22,-1.16,-2.48,0.97,flat,reversal,flat
2018-10-29,DIVISLAB.NS,14.68,10-15%,4.94,3.17,4.54,1.83,continuation,continuation,flat
2018-10-29,TATAPOWER.NS,12.63,10-15%,4.88,0.19,-1.61,-2.96,flat,flat,reversal
2018-10-29,GODREJPROP.NS,10.8,10-15%,0.96,3.62,2.39,4.48,continuation,flat,continuation
2018-10-29,RAYMOND.NS,7.68,7-10%,3.28,0.04,2.58,1.7,flat,flat,flat
2018-10-29,PNB.NS,7.18,7-10%,1.31,2.33,4.8,-0.71,flat,continuation,flat
2018-10-29,BANKBARODA.NS,8.35,7-10%,1.08,2.71,0.56,3.83,flat,flat,continuation
2018-10-29,CANBK.NS,12.07,10-15%,1.59,7.58,5.71,3.27,continuation,continuation,continuation
2018-10-29,UNIONBANK.NS,12.15,10-15%,2.13,8.75,10.98,13.99,continuation,continuation,continuation
2018-10-29,INDIANB.NS,8.59,7-10%,1.44,6.32,3.83,5.41,continuation,continuation,continuation
2018-10-29,NEWGEN.NS,8.6,7-10%,4.41,-0.81,-4.05,2.06,flat,reversal,flat
2018-10-29,AUROPHARMA.NS,7.4,7-10%,1.0,-0.33,2.52,0.79,flat,flat,flat
2018-10-29,WELCORP.NS,9.03,7-10%,1.37,1.59,10.22,9.17,flat,continuation,continuation
2018-10-29,RPOWER.NS,7.85,7-10%,1.66,0.68,5.75,4.91,flat,continuation,continuation
2018-10-30,CANBK.NS,7.58,7-10%,2.83,2.22,-4.98,-5.54,flat,reversal,reversal
2018-10-30,UNIONBANK.NS,8.75,7-10%,4.32,1.12,-0.07,4.16,flat,flat,continuation
2018-10-30,JINDALSAW.NS,8.07,7-10%,1.88,3.34,6.74,6.37,continuation,continuation,continuation
2018-10-30,VBL.NS,7.1,7-10%,2.2,0.61,-6.75,-5.25,flat,reversal,reversal
2018-10-30,NAVINFLUOR.NS,7.08,7-10%,3.04,-5.87,-6.38,-4.04,reversal,reversal,reversal
2018-10-31,TECHM.NS,8.58,7-10%,3.49,-3.12,-6.39,-6.27,reversal,reversal,reversal
2018-10-31,CUMMINSIND.NS,10.92,10-15%,6.34,0.01,2.31,4.26,flat,flat,continuation
2018-10-31,TORNTPOWER.NS,13.17,10-15%,5.07,0.78,2.89,2.91,flat,flat,flat
2018-11-01,ESCORTS.NS,7.57,7-10%,2.62,0.23,-0.16,-1.46,flat,flat,flat
2018-11-01,BRIGADE.NS,9.69,7-10%,0.72,0.46,0.34,1.4,flat,flat,flat
2018-11-02,MOTHERSON.NS,8.32,7-10%,2.03,0.61,-0.58,-4.9,flat,flat,reversal
2018-11-02,DEEPAKNTR.NS,9.01,7-10%,4.77,-2.74,1.42,-2.36,reversal,flat,reversal
2018-11-09,HAL.NS,16.4,15%+,14.5,-2.65,-8.0,-10.37,reversal,reversal,reversal
2018-11-09,GODFRYPHLP.NS,8.73,7-10%,1.85,-2.1,-2.93,-1.15,reversal,reversal,flat
2018-11-13,RADICO.NS,7.86,7-10%,3.35,1.02,-1.06,-4.55,flat,flat,reversal
2018-11-14,NEWGEN.NS,16.03,15%+,11.15,3.36,3.99,9.88,continuation,continuation,continuation
2018-11-15,APOLLOHOSP.NS,8.05,7-10%,5.87,-2.27,-5.49,-3.79,reversal,reversal,reversal
2018-11-16,BHARTIARTL.NS,9.31,7-10%,3.31,1.23,-0.02,0.54,flat,flat,flat
2018-11-22,IDFCFIRSTB.NS,7.14,7-10%,3.37,1.79,-0.51,-1.41,flat,flat,flat
2018-11-29,ADANIENT.NS,7.53,7-10%,2.56,-2.88,-4.21,-11.39,reversal,reversal,reversal
2018-11-29,PRESTIGE.NS,8.27,7-10%,2.8,9.18,7.11,1.03,continuation,continuation,flat
2018-11-30,PRESTIGE.NS,9.18,7-10%,5.99,-2.98,-4.02,-7.25,reversal,reversal,reversal
2018-11-30,PAGEIND.NS,7.35,7-10%,1.92,-2.28,-7.3,-10.55,reversal,reversal,reversal
2018-11-30,NEWGEN.NS,9.55,7-10%,1.23,2.21,2.31,-0.34,flat,flat,flat
2018-12-03,TATAPOWER.NS,8.48,7-10%,4.2,-1.27,-3.82,-5.94,flat,reversal,reversal
2018-12-04,THERMAX.NS,7.76,7-10%,6.07,1.62,-0.04,1.09,flat,flat,flat
2018-12-07,KOTAKBANK.NS,8.42,7-10%,8.55,-6.35,-3.32,-1.85,reversal,reversal,flat
2018-12-07,MUTHOOTFIN.NS,12.04,10-15%,8.44,-1.52,1.42,0.05,flat,flat,flat
2018-12-07,ORIENTELEC.NS,7.37,7-10%,6.07,-0.03,7.28,6.59,flat,continuation,continuation
2018-12-12,HEROMOTOCO.NS,7.23,7-10%,4.07,1.83,0.84,1.43,flat,flat,flat
2018-12-12,ABFRL.NS,8.96,7-10%,5.47,-1.0,-0.32,1.69,flat,flat,flat
2018-12-12,TANLA.NS,7.44,7-10%,1.52,0.64,1.93,8.05,flat,flat,continuation
2018-12-12,SUPRAJIT.NS,7.41,7-10%,1.12,2.57,3.97,4.7,flat,continuation,continuation
2018-12-13,PRESTIGE.NS,7.75,7-10%,0.66,0.65,-4.22,-3.04,flat,reversal,reversal
2018-12-13,IIFL.NS,8.29,7-10%,1.92,-2.78,-3.14,2.29,reversal,reversal,flat
2018-12-14,GMMPFAUDLR.NS,7.78,7-10%,5.58,1.94,-2.65,-2.61,flat,reversal,reversal
2018-12-19,DLF.NS,7.55,7-10%,2.78,-0.86,-7.0,-8.28,flat,reversal,reversal
2018-12-19,KOLTEPATIL.NS,9.85,7-10%,8.92,-3.18,-6.27,-7.6,reversal,reversal,reversal
2018-12-24,PATANJALI.NS,9.68,7-10%,1.94,9.56,25.74,25.74,continuation,continuation,continuation
2018-12-26,PATANJALI.NS,9.56,7-10%,1.77,9.4,20.13,9.4,continuation,continuation,continuation
2018-12-26,BRIGADE.NS,13.9,10-15%,16.46,-4.26,-7.65,-9.32,reversal,reversal,reversal
