date,ticker,day_return,bucket,volume_ratio,fwd_1d,fwd_3d,fwd_5d,label_1d,label_3d,label_5d,clv,imom,gap,atr_ratio,d52w,pre_rng,score_clv,score_imom,score_gap,score_atr,score_d52w,score_prng,intraday_score,structure
2024-04-05,AAVAS.NS,10.08,10-15%,8.8,1.72,-1.19,-3.04,flat,flat,reversal,0.835,0.76,3.28,2.69,12.05,3.26,0,1,1,1,0,0,3,mixed
2024-04-08,EXIDEIND.NS,17.18,15%+,12.53,1.84,5.57,21.91,flat,continuation,continuation,0.898,0.842,0.82,7.43,-6.54,1.3,0,1,1,0,1,0,3,mixed
2024-04-08,PNCINFRA.NS,8.05,7-10%,5.62,-2.74,-4.32,-4.12,reversal,reversal,reversal,0.897,0.874,0.73,2.09,2.24,0.37,0,1,1,1,1,1,5,strong
2024-04-09,HINDCOPPER.NS,8.15,7-10%,3.25,-0.14,-1.28,-0.8,flat,flat,flat,0.77,0.694,0.83,2.17,-7.69,2.59,0,0,1,1,1,0,3,mixed
2024-04-09,KOLTEPATIL.NS,7.61,7-10%,5.04,6.58,4.11,3.36,continuation,continuation,continuation,0.822,0.822,0.45,1.89,11.55,0.58,0,1,1,1,0,0,3,mixed
2024-04-10,VEDL.NS,7.04,7-10%,4.42,3.08,4.53,6.67,continuation,continuation,continuation,0.672,0.618,2.66,2.22,-6.57,4.13,0,0,1,1,1,0,3,mixed
2024-04-10,TANLA.NS,7.46,7-10%,7.15,-0.05,-4.54,-5.42,flat,reversal,reversal,0.594,0.594,0.28,2.51,24.44,0.54,0,0,1,1,0,0,2,weak
2024-04-16,EXIDEIND.NS,12.41,10-15%,4.61,-2.21,1.34,-3.32,reversal,flat,reversal,0.832,0.787,0.23,5.0,-8.53,2.95,0,1,1,0,1,0,3,mixed
2024-04-22,UNIONBANK.NS,7.04,7-10%,1.9,-2.46,-0.4,4.08,reversal,flat,continuation,0.849,0.849,1.42,2.11,7.72,2.01,0,1,1,1,1,0,4,mixed
2024-04-23,ABFRL.NS,9.45,7-10%,3.19,-1.35,1.92,-0.19,flat,flat,flat,0.732,0.596,0.5,4.39,0.94,1.74,0,0,1,0,1,0,2,weak
2024-04-23,MOIL.NS,9.6,7-10%,4.22,2.51,10.41,7.19,flat,continuation,continuation,0.877,0.763,0.55,2.57,-3.58,2.04,0,1,1,1,1,0,4,mixed
2024-04-24,UBL.NS,9.18,7-10%,6.08,-0.42,0.36,1.12,flat,flat,flat,0.92,0.829,0.66,4.62,-6.44,0.52,1,1,1,0,1,0,4,mixed
2024-04-24,DCBBANK.NS,9.81,7-10%,7.11,0.0,3.6,2.76,flat,continuation,flat,0.723,0.605,1.09,5.01,16.76,1.03,0,0,1,0,0,0,1,weak
2024-04-24,JINDALSAW.NS,7.49,7-10%,3.16,2.62,4.79,4.08,flat,continuation,continuation,0.916,0.901,0.58,1.78,4.41,1.39,1,1,1,1,1,0,5,strong
2024-04-25,INOXWIND.NS,7.07,7-10%,4.87,-0.76,-2.77,-4.62,flat,reversal,reversal,0.763,0.75,0.3,1.71,0.39,3.8,0,1,1,1,1,0,4,mixed
2024-04-25,MOIL.NS,10.88,10-15%,2.52,-2.86,-5.69,3.44,reversal,reversal,continuation,0.839,0.763,0.39,2.94,-5.6,6.77,0,1,1,1,1,0,4,mixed
2024-04-25,GODFRYPHLP.NS,10.17,10-15%,6.02,-3.98,-3.04,-1.78,reversal,reversal,flat,0.893,0.852,0.42,3.11,6.41,1.56,0,1,1,0,1,0,3,mixed
2024-04-26,TECHM.NS,7.43,7-10%,7.1,0.75,-0.93,-1.29,flat,flat,flat,0.356,0.271,5.02,4.15,9.71,0.65,0,0,0,0,1,0,1,weak
2024-04-29,NEWGEN.NS,7.55,7-10%,2.62,7.22,17.98,14.89,continuation,continuation,continuation,0.831,0.719,0.41,2.61,3.84,3.9,0,1,1,1,1,0,4,mixed
2024-04-30,NEWGEN.NS,7.22,7-10%,8.44,5.76,6.6,7.16,continuation,continuation,continuation,0.526,0.41,0.64,4.24,-3.11,5.51,0,0,1,0,1,0,2,weak
2024-05-02,CHOLAFIN.NS,9.08,7-10%,5.31,0.62,0.36,-6.08,flat,flat,reversal,0.921,0.921,1.06,3.56,0.53,1.04,1,1,1,0,1,0,4,mixed
2024-05-02,RAYMOND.NS,9.09,7-10%,4.95,-2.92,-5.29,-9.31,reversal,reversal,reversal,0.825,0.777,0.97,3.02,-2.44,2.11,0,1,1,0,1,0,3,mixed
2024-05-02,WELCORP.NS,7.24,7-10%,5.94,-0.74,-3.92,-5.17,flat,reversal,reversal,0.92,0.92,0.12,2.08,3.0,0.75,1,1,1,1,1,0,5,strong
2024-05-02,MOIL.NS,8.68,7-10%,2.74,0.92,-3.11,-9.4,flat,reversal,reversal,0.728,0.277,6.86,1.18,0.35,3.41,0,0,0,1,1,0,2,weak
2024-05-03,BLUEDART.NS,9.3,7-10%,7.67,6.98,6.33,2.41,continuation,continuation,flat,0.881,0.839,0.5,4.52,10.77,0.46,0,1,1,0,0,1,3,mixed
2024-05-06,GODREJPROP.NS,10.63,10-15%,4.58,-2.17,-3.0,-2.68,reversal,reversal,reversal,0.965,0.794,4.29,2.39,-1.82,1.69,1,1,1,1,1,0,5,strong
2024-05-06,BRIGADE.NS,8.76,7-10%,4.14,-1.45,-5.21,-8.72,flat,reversal,reversal,0.861,0.766,0.14,3.09,-0.19,0.72,0,1,1,0,1,0,3,mixed
2024-05-07,MARICO.NS,10.03,10-15%,10.81,2.08,0.63,2.87,flat,flat,flat,0.905,0.814,5.98,2.52,0.13,1.03,1,1,0,1,1,0,4,mixed
2024-05-07,JYOTHYLAB.NS,10.18,10-15%,8.12,0.97,0.82,0.77,flat,flat,flat,0.93,0.804,0.88,3.2,17.59,2.05,1,1,1,0,0,0,3,mixed
2024-05-10,HONAUT.NS,8.25,7-10%,3.31,0.97,5.26,13.0,flat,continuation,continuation,0.893,0.869,0.69,2.83,-2.25,0.87,0,1,1,1,1,0,4,mixed
2024-05-13,SIEMENS.NS,7.33,7-10%,3.46,0.61,6.4,10.03,flat,continuation,continuation,0.897,0.866,1.04,2.79,-4.47,1.24,0,1,1,1,1,0,4,mixed
2024-05-13,ABB.NS,11.23,10-15%,5.99,1.21,4.02,7.08,flat,continuation,continuation,0.741,0.55,5.18,3.98,-10.62,1.76,0,0,0,0,1,0,1,weak
2024-05-14,IRFC.NS,7.81,7-10%,1.57,-1.18,7.44,11.67,flat,continuation,continuation,0.936,0.936,0.75,1.93,18.41,1.5,1,1,1,1,0,0,4,mixed
2024-05-14,NATIONALUM.NS,7.29,7-10%,1.59,-0.18,2.63,4.03,flat,flat,continuation,0.929,0.854,0.82,1.88,1.68,1.65,1,1,1,1,1,0,5,strong
